prediction,actual
"bangalore, india, june 4  the world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top. on tuesday, on the expansive grounds of the bangalore palace, a colonial-era mansion once inhabited by a maharajah, the chairman and chief executive of i.b.m., an additional 6,500 employees will look in on the town hall-style meeting by satellite from other indian cities. 's work force in india has been remarkable. some of the growth has been through acquisition. in a deal valued at about $160 million in 2004, i.b.m. bought daksh eservices of new delhi, india's third-largest back-office outsourcing firm with 6,000 workers. in recent months, the technology hub of bangalore has become the center of i.b.m. researchers have fashioned a predictable modeling system that helps track the failure of components inside a vehicle, a potentially important tool. these kinds of capabilities and global scale are unmatched."" but smaller rivals are playing catch-up here, too, by talking to customers about their needs and then developing custom-built software. even so, the indian operation is becoming more and more strategic for the company. """,india provides i.b.m. with its fastest-growing market and a crucial base for delivering services to much of the world.
"this story was reported by: nick charles, austin evans fenner and samson mulugeta it was written by: karen hunter

tuesday, october 17th 1995, 4:20am

as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. if we worked together, we'd be a great nation."" ""i am so emotional about this day, i can barely talk about it,"" morgan said. "" when the men return, i hope they go to their brothers at a street corner and offer to help.""","as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i felt like the only black person working,""said roderick vinson, 38, of harlem. ""that feeling made me sick to my stomach. i couldn't believe i missed one of the important events of my life.""winston ford, 50, had to work, too. he makes his living selling"
"tehran | mon jan 31, 2011 9:17am est

tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday. shourd, who may opt to not return, a move which would delay any trial of bauer and fattal, said the trio were hiking in the mountains area of iraq near the iranian border and never intended to cross into iran. washington has headed a global campaign to tighten sanctions on tehran which it accuses of seeking nuclear weapons.","tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday.sarah"
"by maggie fox, health and science editor

washington | fri aug 17, 2007 6:02pm edt

washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. john park of the university of california, san francisco and colleagues tested it in 18 women with advanced her2/neu-positive breast cancer, whose cancer had spread despite treatment. but that may not happen for a while, he said. but the fda has asked dendreon to show the vaccine helps prostate cancer patients actually live longer. ""the company currently is focused on its lead product, provenge, so moving forward with the neuvenge product is something that we haven't given guidance on,"" urdal said in a telephone interview.","washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. researchers reported on friday.dendreon"
"as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. instead, thompson and two separately interviewed older male concertgoers credited music festivals. the excitement held firm through the first eight numbers, each a striking uptempo amalgam of old folk, skiffle, and rockabilly styles, climaxing with the instantly winning “two fingers” and — after bugg switched to electric guitar — the new “messed up kids.”","as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. with his fetching mop top and boyish charm, this jb comes off like the anti-pop justin beiber, reviving rock ’n’ roll as sincere but sexy folk music for the long-tailed digital age. to promote his second album, “shagri la,” bugg has performed in boston several times recently, at successively larger venues. at the 2,400-capacity house of blues, the bassist and drummer planted themselves at either end of the large stage and bugg took the center, clutching a classical acoustic guitar. from the opening dylan-esque word-spree “there's a beast and we all feed it,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there."
"the custody battle of robert de niro and estranged wife grace hightower is getting rough. the ""raging bull"" star is claiming that hightower flew into a jealous rage and pummeled him during a sailing trip with salsa star marc anthony, sources tell us. "" asked about the claims, hightower would say only: ""bob is on his own with his own story. "" a friend of hightower says she has alleged that de niro's lifestyle is too wild and has insisted that elliott be accompanied on visits by hightower, a nanny or a teacher. "" de niro has recounted the yacht story, and other claims about hightower's temper, in a emergency relief motion seeking overnight visits with elliott, say sources. the two women were wearing bathing suits and carrying life jackets. "" "" the police said they soon discovered both women were wanted on warrants from other jurisdictions. donatella also drew christina ricci, rupert everett, marlon wayans and heath ledger. the plane is just sort of mine for a little while,"" clinton remembers mistily on tonight's national geographic's special about the flying fortress. "" chili, 30, who plays the lead in usher's new video, ""you remind me,"" a track that's been at the top of the charts for three weeks, is sporting a diamond bracelet courtesy of usher, who happens to be nine years her junior.","t he custody battle of robert de niro and estranged wife grace hightower
   is getting rough. the ""raging bull"" star is claiming that hightower flew
   into a jealous rage and pummeled him during a sailing trip with salsa star
   marc anthony, sources tell us.
   the astonishing spectacle occured in may, when de niro and hightower were on anthony's yacht in florida with their 3-year-old son,"
"nikki reed in twilight and ian somerhalder in the vampire diaries

by nate jones & alison schwartz

updated 08/01/2014 at 02:45 pm edt

the recent revelations that ian somerhalder of

has thrown us into a tizzy. it got us thinking, how would some of our other favorite couples fare if we swapped each member with their most famous character? the thrilling blush of true love doesn't really exist in the universe of

, but if anyone could get this small-town chief of police out of his existential funk, it's

a chatty new york waitress might be just the right match for a man whose estranged wife took a vow of silence.","we know these couples have sparks in real life, but would they still work on screen?"
"vivian boyack, 91, and alice “nonie” dubes, 90, have married after 72 years together. ( ap photo/the quad city times, thomas geyer)

two women in their 90s have married in a ceremony in the us after 72 years together. “this is a very special day for all of us.”",two women in their 90&rsquo;s have married in a ceremony in the us after 72 years together.
"how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? if you want more talk minutes virgin does 1200 minutes for $40 and unlimited for $60. it has gps hardware for navigation with google maps, bluetooth 2.1 for speakerphones and microsd card for expandability of up to 32gb. i talked to sprint’s pre-paid group who mentioned that you can’t simply bring another sprint s android device to virgin and expect to get it activated. sprint said an android 2.2 update was in the works which may let you tether for something closer to their (also amazing ) $40/month plan.","how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? virgin mobile offers the best smartphone plan i've ever seen...by a long shot.  if you pay the full price ($249) for a cheaper samsung intercept phone, you can jump on virgin mobile's $25/month everything pre-paid with…"
"david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile platforms.","david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor. this includes efforts to develop services that can be widely accessed on mobile phones, in domains such as health and agriculture, to improve lives and livelihoods. it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile"
