prediction,actual
"bangalore, india, june 4  the world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top. palmisano and other top executives will meet here with investment analysts and local customers to showcase i.b.m. the meetings are more than an exercise in public and investor relations. 's strategy, providing it with its fastest-growing market and a crucial base for delivering services to much of the world. ""a significant part of any large project that we do worldwide is today being delivered out of here,"" said shanker annaswamy, i.b.m. some of the growth has been through acquisition. since then, that operation alone has grown to 20,000 employees. ""now that companies such as infosys technologies and cognizant have clearly demonstrated that the services marketplace is not impregnable, the new battle is for talent,"" said n. lakshmi narayanan, president and chief executive of cognizant technology solutions of teaneck, n.j. 's competitors; it is incorporated in the united states but has the bulk of its 28,000 employees in india. is growing not only in size by adding new hires, but also in revenue. but the depth, breadth and geographic spread of i.b.m. 's global operations  which generated $91 billion in sales last year, $47 billion from services  keep it ahead of its competitors for now.",india provides i.b.m. with its fastest-growing market and a crucial base for delivering services to much of the world.
"this story was reported by: nick charles, austin evans fenner and samson mulugeta it was written by: karen hunter

tuesday, october 17th 1995, 4:20am

as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i felt like the only black person working,"" said roderick vinson, 38, of harlem. "" ""i didn't have the finances to make the trip,"" he said. "" but some other black new yorkers said they had no use for march organizer louis farrakhan and made no apologies for missing the rally. these are the brothers who could have used the march the most.""","as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i felt like the only black person working,""said roderick vinson, 38, of harlem. ""that feeling made me sick to my stomach. i couldn't believe i missed one of the important events of my life.""winston ford, 50, had to work, too. he makes his living selling"
"tehran | mon jan 31, 2011 9:17am est

tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday. shourd, who may opt to not return, a move which would delay any trial of bauer and fattal, said the trio were hiking in the mountains area of iraq near the iranian border and never intended to cross into iran. (reporting by hossein jaseb; writing by reza derakhshi; editing by matthew jones)","tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday.sarah"
"by maggie fox, health and science editor

washington | fri aug 17, 2007 6:02pm edt

washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. like provenge, neuvenge is made using immune cells from the cancer patient, so it is a tailor-made vaccine. john park of the university of california, san francisco and colleagues tested it in 18 women with advanced her2/neu-positive breast cancer, whose cancer had spread despite treatment. ""we saw a partial response, meaning a reduction in the size of tumor area in one patient that was certainly attributable to the treatment,"" park said in a telephone interview. but that may not happen for a while, he said.","washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. researchers reported on friday.dendreon"
"as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. instead, thompson and two separately interviewed older male concertgoers credited music festivals.","as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. with his fetching mop top and boyish charm, this jb comes off like the anti-pop justin beiber, reviving rock ’n’ roll as sincere but sexy folk music for the long-tailed digital age. to promote his second album, “shagri la,” bugg has performed in boston several times recently, at successively larger venues. at the 2,400-capacity house of blues, the bassist and drummer planted themselves at either end of the large stage and bugg took the center, clutching a classical acoustic guitar. from the opening dylan-esque word-spree “there's a beast and we all feed it,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there."
"the custody battle of robert de niro and estranged wife grace hightower is getting rough. the ""raging bull"" star is claiming that hightower flew into a jealous rage and pummeled him during a sailing trip with salsa star marc anthony, sources tell us. when he came back up, grace slugged him in the ribs. she told the captain she'd caught his wife with her husband. freeman, they said, was wanted for a probation violation; mathers was accused of skipping court on a misdemeanor charge of disturbing the peace. the substance was sent to the michigan state police crime laboratory for investigation. while he was at it, redford also took aim at bush's political advisers. "" hemming (a slim jim version of his former flame j.

lo) was the hip-hop mogul's date at the donatella versace show on saturday. donatella also drew christina ricci, rupert everett, marlon wayans and heath ledger. itemizing russell crowe is ready to rock you. the pad, which features a 2,700-square-foot terrace, is on 22nd st.,","t he custody battle of robert de niro and estranged wife grace hightower
   is getting rough. the ""raging bull"" star is claiming that hightower flew
   into a jealous rage and pummeled him during a sailing trip with salsa star
   marc anthony, sources tell us.
   the astonishing spectacle occured in may, when de niro and hightower were on anthony's yacht in florida with their 3-year-old son,"
"nikki reed in twilight and ian somerhalder in the vampire diaries

by nate jones & alison schwartz

updated 08/01/2014 at 02:45 pm edt

the recent revelations that ian somerhalder of

has thrown us into a tizzy. together,

's pfyt (pretty forever young thing) form the ultimate paranormal power couple with just the right amount of bite. as long as they can decide which coast to live on, they've got a better shot than most. joe manganiello in true blood and sofia vergara in modern family

we're not sure if the

werewolf could afford gloria, easily the hottest thing about

if we're not including cameron tucker's button-downs.","we know these couples have sparks in real life, but would they still work on screen?"
"vivian boyack, 91, and alice “nonie” dubes, 90, have married after 72 years together. ( ap photo/the quad city times, thomas geyer)

two women in their 90s have married in a ceremony in the us after 72 years together. “this is a very special day for all of us.”",two women in their 90&rsquo;s have married in a ceremony in the us after 72 years together.
"how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? they told me that there would be a grandfather clause where you’d continue to be billed at the rate you bought the phone at (but i’d prefer to have that in writing). in fact, virgin mobile generally pulls its phones from the low end of parent company sprint’s offering. but certainly not a dealbreaker at $25/month. sprint said an android 2.2 update was in the works which may let you tether for something closer to their (also amazing ) $40/month plan.","how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? virgin mobile offers the best smartphone plan i've ever seen...by a long shot.  if you pay the full price ($249) for a cheaper samsung intercept phone, you can jump on virgin mobile's $25/month everything pre-paid with…"
"david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor.","david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor. this includes efforts to develop services that can be widely accessed on mobile phones, in domains such as health and agriculture, to improve lives and livelihoods. it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile"
