prediction,actual
"BANGALORE, India, June 4  The world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top. The meetings are more than an exercise in public and investor relations. Some of the growth has been through acquisition. ""Now that companies such as Infosys Technologies and Cognizant have clearly demonstrated that the services marketplace is not impregnable, the new battle is for talent,"" said N. Lakshmi Narayanan, president and chief executive of Cognizant Technology Solutions of Teaneck, N.J. Cognizant is one of I.B.M.'s competitors; it is incorporated in the United States but has the bulk of its 28,000 employees in India. recently made an offer for a controlling stake in Mphasis, a midsize outsourcing firm in Bangalore. Infosys Technologies, with 52,700 employees, has $2.15 billion in annual revenues, a figure that is growing 30 percent annually. Meanwhile, Mr. Annaswamy, I.B.M.'s chief executive in India, acknowledged that growth was difficult because thousands of recruits had to be quickly integrated into the company. Salaries are rising, and employee costs are also moving up, he said. Even so, the Indian operation is becoming more and more strategic for the company. ""","BANGALORE, India, June 4  The world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top.

A building housing I.B.M.'s software laboratory and application service teams on the company's corporate campus in Bangalore, India.

On Tuesday, on the expansive grounds of the Bangalore Palace, a colonial-era mansion once inhabited by a maharajah, the chairman and chief executive of I.B.M., Samuel J. Palmisano, will address 10,000 Indian employees. He will share the stage with A. P. J. Abdul Kalam, India's president, and Sunil Mittal, chairman of the country's largest cellular services provider, Bharti Tele-Ventures. An additional 6,500 employees will look in on the town hall-style meeting by satellite from other Indian cities.

On the same day, Mr. Palmisano and other top executives will meet here with investment analysts and local customers to showcase I.B.M.'s global integration capabilities in a briefing customarily held in New York. During the week, the company will lead the 50 analysts on a tour of its Indian operations.

The meetings are more than an exercise in public and investor relations. They are an acknowledgment of India's critical role in I.B.M.'s strategy, providing it with its fastest-growing market and a crucial base for delivering services to much of the world.

""A significant part of any large project that we do worldwide is today being delivered out of here,"" said Shanker Annaswamy, I.B.M.'s managing director for India, who presides over what is now the company's second-largest worldwide operation. In the last few years, even as the company has laid off thousands of workers in the United States and Europe, the growth in I.B.M.'s work force in India has been remarkable. From 9,000 employees in early 2004, the number has grown to 43,000 (out of 329,000 worldwide), making I.B.M. the country's largest multinational employer.

Some of the growth has been through acquisition. In a deal valued at about $160 million in 2004, I.B.M. bought Daksh eServices of New Delhi, India's third-largest back-office outsourcing firm with 6,000 workers. Since then, that operation alone has grown to 20,000 employees.

""Now that companies such as Infosys Technologies and Cognizant have clearly demonstrated that the services marketplace is not impregnable, the new battle is for talent,"" said N. Lakshmi Narayanan, president and chief executive of Cognizant Technology Solutions of Teaneck, N.J. Cognizant is one of I.B.M.'s competitors; it is incorporated in the United States but has the bulk of its 28,000 employees in India.

I.B.M. is growing not only in size by adding new hires, but also in revenue. The company's business in India grew 61 percent in the first quarter of this year, 55 percent in 2005 and 45 percent the year before.

That growth has not come just from taking advantage of the country's pool of low-cost talent. In recent months, the technology hub of Bangalore has become the center of I.B.M.'s efforts to combine high-value, cutting-edge services with its low-cost model.

For instance, the I.B.M. India Research Lab, with units in Bangalore and New Delhi and a hundred employees with Ph.D.'s, has created crucial products like a container tracking system for global shipping companies and a warranty management system for automakers in the United States. Out of the second project, I.B.M. researchers have fashioned a predictable modeling system that helps track the failure of components inside a vehicle, a potentially important tool.

In March, the company started a Global Business Solutions Center here, announcing that it would represent the ""future of consulting services."" I.B.M. said that it expected to invest more than $200 million a year in the new center. The company hopes to provide clients with access to the expertise of its 60,000 consultants worldwide in complex areas like supply chain management and compliance with banking rules.

But competitors are trying to gain on I.B.M. The rival consulting firm, Accenture, based in Hamilton, Bermuda, is ramping up equally rapidly in India, while another outsourcing competitor, Electronic Data Systems, based in Plano, Tex., recently made an offer for a controlling stake in Mphasis, a midsize outsourcing firm in Bangalore.

The race for India's skilled, inexpensive talent may not stop at I.B.M. ""Many companies in the technology development and support niche covet and value these workers highly,"" said Kevin M. Moss, a New York-based special counsel in Kramer Levin Naftalis & Frankel's outsourcing and technology transactions group.

On the pricing front, rivals like Tata Consultancy Services of Mumbai and Infosys Technologies of Bangalore have pioneered and perfected the low-cost model. Infosys Technologies, with 52,700 employees, has $2.15 billion in annual revenues, a figure that is growing 30 percent annually.

But the depth, breadth and geographic spread of I.B.M.'s global operations  which generated $91 billion in sales last year, $47 billion from services  keep it ahead of its competitors for now. For example, I.B.M. manages a system it developed for a large American oil company, which it would not identify, that keeps track of consumption and oversees financial and administrative processes as well as the technical help desk, data network and servers. I.B.M. is also researching tools to track company assets and reduce costs.

""All this is done for one customer seamlessly from three of our centers in Bangalore, Chicago and outside of London,"" said Amitabh Ray, director of global delivery, I.B.M. Global Services. ""These kinds of capabilities and global scale are unmatched.""

But smaller rivals are playing catch-up here, too, by talking to customers about their needs and then developing custom-built software. Infosys Technologies, for instance, has a consulting unit with headquarters in Fremont, Calif., near Silicon Valley, where it now has 200 consultants, and an additional 1,800 consultants in India.

Meanwhile, Mr. Annaswamy, I.B.M.'s chief executive in India, acknowledged that growth was difficult because thousands of recruits had to be quickly integrated into the company. Salaries are rising, and employee costs are also moving up, he said.

Even so, the Indian operation is becoming more and more strategic for the company. ""Both in terms of size and scale, India has become the focal point,"" Mr. Ray, of I.B.M. Global Services, said."
"This story was reported by: NICK CHARLES, AUSTIN EVANS FENNER AND SAMSON MULUGETA It was written by: KAREN HUNTER

Tuesday, October 17th 1995, 4:20AM

As many black men marched on Washington yesterday, some New Yorkers spoke of their pride in the event and their disappointment in not being there, too. He makes his living selling incense and body oils in Brooklyn. But my heart and soul is with them in Washington."" ""Louis Farrakhan shouldn't be at the march because of the remarks he has made about Jews and whites,"" agreed Brooklyn construction worker Cyril Peter, 35. ""","This story was reported by: NICK CHARLES, AUSTIN EVANS FENNER AND SAMSON MULUGETA It was written by: KAREN HUNTER

Tuesday, October 17th 1995, 4:20AM

As many black men marched on Washington yesterday, some New Yorkers spoke of their pride in the event and their disappointment in not being there, too.

""I felt like the only black person working,"" said Roderick Vinson, 38, of Harlem. ""That feeling made me sick to my stomach. I couldn't believe I missed one of the important events of my life.""

Winston Ford, 50, had to work, too. He makes his living selling incense and body oils in Brooklyn.

""I didn't have the finances to make the trip,"" he said. ""But my heart and soul is with them in Washington.""

For HIV-positive Sheldon Julius of Harlem, the Million Man March was a wakeup call. Long an absentee father, he called his 15-year-old son Sunday night and for the first time ever told him that he loved him. ""The calling of the march made me realize my responsibility,"" he said.

But some other black New Yorkers said they had no use for march organizer Louis Farrakhan and made no apologies for missing the rally.

""Farrakhan's wrong,"" said Allen Washington, 61, a retired Triborough Bridge and Tunnel Authority worker. ""Whites and blacks need each other. If we worked together, we'd be a great nation.""

""Louis Farrakhan shouldn't be at the march because of the remarks he has made about Jews and whites,"" agreed Brooklyn construction worker Cyril Peter, 35. ""As long as he's there, there will be a negative effect.""

Charles Williams, 45, an East Elmhurst, Queens, graphics worker, decided that the event was hollow. ""There is no agenda,"" he said. ""It isn't about jobs or housing, it's just about a paper platform.""

Still, drug counselor Jeanette Morgan was bursting with hope and pride as she sipped coffee in a Queens diner and thought about her brothers, sons and grandsons marching in Washington.

""I am so emotional about this day, I can barely talk about it,"" Morgan said. ""When the men return, I hope they go to their brothers at a street corner and offer to help.""

On one Harlem corner yesterday, college student Mike Carr stood shaking his head as he watched a man idly nurse a 40-ounce beer in a bag.

""It's a shame,"" said Carr. ""These are the brothers who could have used the march the most."""
"TEHRAN | Mon Jan 31, 2011 9:17am EST

TEHRAN (Reuters) - An American woman who was freed after more than a year in an Iranian jail on suspicion of spying has been summoned back to attend trial, the official IRNA news agency reported Monday. Shourd, who may opt to not return, a move which would delay any trial of Bauer and Fattal, said the trio were hiking in the mountains area of Iraq near the Iranian border and never intended to cross into Iran. Washington has headed a global campaign to tighten sanctions on Tehran which it accuses of seeking nuclear weapons.","TEHRAN | Mon Jan 31, 2011 9:17am EST

TEHRAN (Reuters) - An American woman who was freed after more than a year in an Iranian jail on suspicion of spying has been summoned back to attend trial, the official IRNA news agency reported Monday.

Sarah Shourd, 32, was arrested in July 2009 along with two male friends, Shane Bauer and Josh Fattal who are still in jail in Iran.

Shourd, who may opt to not return, a move which would delay any trial of Bauer and Fattal, said the trio were hiking in the mountains area of Iraq near the Iranian border and never intended to cross into Iran.

A trial set for last November was postponed, according to a judiciary spokesman, because of Shourd's absence.

""Sarah Shourd ... has been summoned by the Revolutionary Court to be present at next trial session,"" judiciary spokesman Gholamhosssein Mohseni-Ejei was quoted as saying Monday. The trial is set for February 6.

Shourd was released on $500,000 bail in September on humanitarian grounds and returned to the United States.

Under Iran's Islamic law, espionage can be punished by execution.

""The hearing will be held on scheduled date unless in some exceptional cases such as their lawyers' formal requests,"" Ejei said.

The case has further complicated relations between Iran and the United States which have had no diplomatic relations since the 1979 Islamic Revolution.

Washington has headed a global campaign to tighten sanctions on Tehran which it accuses of seeking nuclear weapons. Iran says its nuclear program is peaceful, aimed at generating electricity.

(Reporting by Hossein Jaseb; Writing by Reza Derakhshi; Editing by Matthew Jones)"
"By Maggie Fox, Health and Science Editor

WASHINGTON | Fri Aug 17, 2007 6:02pm EDT

WASHINGTON (Reuters) - A vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, U.S. researchers reported on Friday. Writing in the Journal of Clinical Oncology, the researchers said the vaccine did not cause any serious side effects and appeared to help at least one patient. But that may not happen for a while, he said. ""The company currently is focused on its lead product, Provenge, so moving forward with the Neuvenge product is something that we haven't given guidance on,"" Urdal said in a telephone interview. The delay in approval of Provenge has angered some patient advocacy groups.","By Maggie Fox, Health and Science Editor

WASHINGTON | Fri Aug 17, 2007 6:02pm EDT

WASHINGTON (Reuters) - A vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, U.S. researchers reported on Friday.

Dendreon Corporation, maker of the Provenge prostate cancer vaccine, calls the new vaccine Neuvenge. It targets a type of breast cancer called her2/neu-positive breast cancer, which affects between 20 percent and 30 percent of breast cancer patients.

Like Provenge, Neuvenge is made using immune cells from the cancer patient, so it is a tailor-made vaccine.

Dr. John Park of the University of California, San Francisco and colleagues tested it in 18 women with advanced her2/neu-positive breast cancer, whose cancer had spread despite treatment.

Writing in the Journal of Clinical Oncology, the researchers said the vaccine did not cause any serious side effects and appeared to help at least one patient.

""We saw a partial response, meaning a reduction in the size of tumor area in one patient that was certainly attributable to the treatment,"" Park said in a telephone interview.

In three other women, their cancer appeared to stabilize for as long as a year, something that could have been due to treatment, Park said.

Park said the effects justify moving from the Phase 1 safety trial to a Phase 2 trial, which would be designed to show the treatment actually helps patients. But that may not happen for a while, he said.

""The sponsor of this vaccine technology, Dendreon, is also associated with Provenge,"" Park said.

""We on the breast cancer side are trying to encourage them to develop Neuvenge with the same vigor that they have tried to apply to Provenge, but it is not a company that has unlimited resources.""

In January, the U.S. Food and Drug Administration accepted Dendreon's marketing application for Provenge on a ""fast-track"" basis, and in March an advisory panel said Provenge appeared reasonably safe. But the FDA has asked Dendreon to show the vaccine helps prostate cancer patients actually live longer.

Dr. Dave Urdal, chief scientific officer at Seattle-based Dendreon, said that data would not be available any sooner than next year, and perhaps not until 2010.

""The company currently is focused on its lead product, Provenge, so moving forward with the Neuvenge product is something that we haven't given guidance on,"" Urdal said in a telephone interview.

The delay in approval of Provenge has angered some patient advocacy groups.

Urdal said both Provenge and Neuvenge make use of immune system cells called CD4 helper T-cells.

""This validates the approach. So there is more than one target and more than one cancer that potentially will benefit from this form of therapy,"" he said. Other companies are also working on cancer vaccines.

The her2/neu protein is over-expressed, meaning it is over-active, in several tumors including breast, colorectal and ovarian cancer.

The vaccine is a therapeutic vaccine, meaning it stimulates an immune response to existing disease. The patient's T-cells are removed, ""trained"" to recognize the her2/neu protein, and then re-infused into the patient."
"As the lights went down at the nearly sold-out House of Blues on Saturday, Robert Johnson's 1936 Delta blues “Cross Roads” came up, and 19-year-old Jake Bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. Instead, Thompson and two separately interviewed older male concertgoers credited music festivals. Fronting a black-clad five-piece band, Albert Hammond Jr., of the Strokes, preceded Bugg with cliché-tinged songs and a smug indifference that showed why the claim was ever in doubt.","As the lights went down at the nearly sold-out House of Blues on Saturday, Robert Johnson's 1936 Delta blues “Cross Roads” came up, and 19-year-old Jake Bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides.

With his fetching mop top and boyish charm, this JB comes off like the anti-pop Justin Beiber, reviving rock ’n’ roll as sincere but sexy folk music for the long-tailed digital age.

“Definitely not the radio,” said 17-year-old Stoneham resident Caroline Thompson when asked how she'd learned about the English singer-songwriter, whose 2012 debut topped the UK charts but never broke the US top 40. Instead, Thompson and two separately interviewed older male concertgoers credited music festivals. To promote his second album, “Shangri La,” Bugg has performed in Boston several times recently, at successively larger venues.

At the 2,400-capacity House of Blues, the bassist and drummer planted themselves at either end of the large stage and Bugg took the center, clutching a classical acoustic guitar. From the opening Dylan-esque word-spree “There's a Beast and We All Feed It,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there.

The excitement held firm through the first eight numbers, each a striking uptempo amalgam of old folk, skiffle, and rockabilly styles, climaxing with the instantly winning “Two Fingers” and — after Bugg switched to electric guitar — the new “Messed Up Kids.” The mood ebbed during a couple of tender acoustic ballads and the long jag of bluesy and punky numbers that closed the hourlong set. But a three-song encore grabbed it back. It included Bugg’s strong rendition of Neil Young's “My My, Hey Hey,” during which he delivered the line “rock ’n’ roll can never die” as if it were still feasible.

Fronting a black-clad five-piece band, Albert Hammond Jr., of the Strokes, preceded Bugg with cliché-tinged songs and a smug indifference that showed why the claim was ever in doubt."
"The custody battle of Robert De Niro and estranged wife Grace Hightower is getting rough. The ""Raging Bull"" star is claiming that Hightower flew into a jealous rage and pummeled him during a sailing trip with salsa star Marc Anthony, sources tell us. The astonishing spectacle occured in May, when De Niro and Hightower were on Anthony's yacht in Florida with their 3-year-old son, Elliott, and De Niro's 5-year-old twins, by former girlfriend Toukie Smith, Aaron and Julian, according to insiders. "" "" Another source says High-tower saw De Niro belowdecks talking with Anthony's cook, who is married to the boat's captain. She told the captain she'd caught his wife with her husband. "" Kim Mathers arrested Seems like trouble runs in the Mathers family. "" The police said they soon discovered both women were wanted on warrants from other jurisdictions. Freeman, they said, was wanted for a probation violation; Mathers was accused of skipping court on a misdemeanor charge of disturbing the peace. Hackel said a small container of white powder was found in the back of the patrol car in which Mathers and Freeman had been riding. The ""Gladiator"" is bringing his 30 Odd Foot of Grunts band to Irving Plaza Aug. 29 as part of the group's month-long tour ... NOW THAT they have to fly commercial, ex-Presidents Bill Clinton and George Bush are pining for Air Force One. "" R & B STAR Usher and TLC's Chili are reportedly a hot item.","The custody battle of Robert De Niro and estranged wife Grace Hightower is getting rough. The ""Raging Bull"" star is claiming that Hightower flew into a jealous rage and pummeled him during a sailing trip with salsa star Marc Anthony, sources tell us. The astonishing spectacle occured in May, when De Niro and Hightower were on Anthony's yacht in Florida with their 3-year-old son, Elliott, and De Niro's 5-year-old twins, by former girlfriend Toukie Smith, Aaron and Julian, according to insiders. ""Bob went down belowdecks,"" says a source. ""When he came back up, Grace slugged him in the ribs.

"" Another source says High-tower saw De Niro belowdecks talking with Anthony's cook, who is married to the boat's captain. The chef ""was showing Bob how to close a door on the bedroom or bathroom, and Grace must have gotten the wrong idea,"" says the source. ""She came back upstairs screaming ... She started hitting him in front of Marc and Dayanara [Torres, Anthony's wife]. She told the captain she'd caught his wife with her husband.

"" Asked about the claims, Hightower would say only: ""Bob is on his own with his own story.

"" A friend of Hightower says she has alleged that De Niro's lifestyle is too wild and has insisted that Elliott be accompanied on visits by Hightower, a nanny or a teacher. De Niro has reluctantly agreed to the visitation plan, sources say. A source close to Hightower said: ""She has plenty of ammunition and cannot wait till her side of the story is told.

"" De Niro has recounted the yacht story, and other claims about Hightower's temper, in a emergency relief motion seeking overnight visits with Elliott, say sources. Manhattan Supreme Court Judge Judith Gische shot down the motion this week, putting the matter over until a conference July 24. Hightower's lawyer, Robert Stephan Cohen, called De Niro's claims ""a completely revisionist history. She's a great mom.

"" Kim Mathers arrested Seems like trouble runs in the Mathers family. Kim Mathers, the estranged wife of rapper Eminem, was arrested Sunday on an outstanding warrant. Michigan cops picked up Mathers and friend Jennifer Freeman, 22, walking down an avenue in Harrison Township after worried neighbors along a local canal phoned about a personal-watercraft accident. The two women were wearing bathing suits and carrying life jackets. ""We could tell they had been drinking,"" Sheriff Mark Hackel told the Detroit Free Press. ""They said their personal watercraft had had some mechanical trouble.

"" The police said they soon discovered both women were wanted on warrants from other jurisdictions. Freeman, they said, was wanted for a probation violation; Mathers was accused of skipping court on a misdemeanor charge of disturbing the peace. Mathers, who posted $3,000 bond and was released, is due back in court today. The case could get stickier still. Hackel said a small container of white powder was found in the back of the patrol car in which Mathers and Freeman had been riding. The substance was sent to the Michigan State Police Crime Laboratory for investigation. It drives Redford wild Robert Redford is seeing red over President Bush's stance on green issues. ""Bush doesn't have a clue,"" Redford steamed in the German magazine Stern, calling the commander-in-chief a ""terrible ignoramus"" when it comes to the environment. ""I'm afraid that in the future we will get many stupid answers from him,"" the actor speculated. While he was at it, Redford also took aim at Bush's political advisers. ""They are blind and deaf to the changes over the last 40 years,"" he told the magazine. Seen on the Seine Sean (Puffy) Combs stepped out again with model Emma Hemming last weekend in Paris. Hemming (a Slim Jim version of his former flame J.

Lo) was the hip-hop mogul's date at the Donatella Versace show on Saturday. Keeping an eye on them was Naomi Campbell, who some think has set her cap for the rapper. If Campbell is trying to make him jealous, she might need to rethink her plan. She arrived at the show hand in hand with Kevin Spacey. Donatella also drew Christina Ricci, Rupert Everett, Marlon Wayans and Heath Ledger. After the catwalking, everyone headed to Cabaret, where Combs spun cuts from his just-released album, ""P. Diddy and the Bad Family.

"" Working out on the dance floor were Paris and Nicky Hilton (scotching rumors that they were in Lizzie Grubman's SUV when it hit 16 people last weekend). After Cabaret, it was on to Les Bains Douches and then to the Eiffel Tower, where British Vogue cover boy Combs sipped Champagne with Campbell, Ledger, Spacey, Ricci and company as the sun rose. Itemizing RUSSELL CROWE is ready to rock you. The ""Gladiator"" is bringing his 30 Odd Foot of Grunts band to Irving Plaza Aug. 29 as part of the group's month-long tour ... NOW THAT they have to fly commercial, ex-Presidents Bill Clinton and George Bush are pining for Air Force One. ""The plane is just sort of mine for a little while,"" Clinton remembers mistily on tonight's National Geographic's special about the flying fortress. ""The thing I miss about Air Force One is they don't lose my luggage,"" says Bush. ... LINDA EVANGELISTA may be moving back to the U.

S. The model, rumored to be Vogue's September cover girl, recently purchased a penthouse in West Chelsea for $2.

4 million. The pad, which features a 2,700-square-foot terrace, is on 22nd St., according to The New York Observer. Evangelista has been living in Britain with her boyfriend, French soccer star Fabien Barthez, but the two are reportedly having trouble. ... R & B STAR Usher and TLC's Chili are reportedly a hot item. Chili, 30, who plays the lead in Usher's new video, ""You Remind Me,"" a track that's been at the top of the charts for three weeks, is sporting a diamond bracelet courtesy of Usher, who happens to be nine years her junior."
"Nikki Reed in Twilight and Ian Somerhalder in The Vampire Diaries

By Nate Jones & Alison Schwartz

updated 08/01/2014 at 02:45 PM EDT

The recent revelations that Ian Somerhalder of

has thrown us into a tizzy. It got us thinking, how would some of our other favorite couples fare if we swapped each member with their most famous character? We know they've got sparks in real life, but would they still work on screen? The thrilling blush of true love doesn't really exist in the universe of

, but if anyone could get this small-town chief of police out of his existential funk, it's

A chatty New York waitress might be just the right match for a man whose estranged wife took a vow of silence.","Nikki Reed in Twilight and Ian Somerhalder in The Vampire Diaries

By Nate Jones & Alison Schwartz

updated 08/01/2014 at 02:45 PM EDT

The recent revelations that Ian Somerhalder of

has thrown us into a tizzy. Here are two actors, from two completely different vampire franchises, dating and doing romance stuff – as if someone had turned fan fiction into real life.

It got us thinking, how would some of our other favorite couples fare if we swapped each member with their most famous character? We know they've got sparks in real life, but would they still work on screen?

represent the ultimate fairy tale, Nikki Reed and Ian Somerhalder's

is the fan fiction you hush-hush scroll through before clearing your browser history. Together,

's PFYT (Pretty Forever Young Thing) form the ultimate paranormal power couple with just the right amount of bite.

Their relationship would work if they could figure out how to kiss without their fangs getting in the way.

Adam Brody in The O.C. and Leighton Meester in Gossip Girl

, and for good reason: Seth and Blair have just enough in common for this to make sense – they're two super-popular Josh Schwartz creations with a history of dating outside their social circle, if not their class – and enough differences to keep things interesting.

As long as they can decide which coast to live on, they've got a better shot than most.

Joe Manganiello in True Blood and Sofia Vergara in Modern Family

We're not sure if the

werewolf could afford Gloria, easily the hottest thing about

if we're not including Cameron Tucker's button-downs. Then again – and how do we put this nicely? – shirtless Ed O'Neill isn't quite as â¦ fun.

Frankly, it's a fire hazard. Like, is it hot in here or have we already spent too much time thinking about

Justin Theroux in The Leftovers and Jennifer Aniston in Friends

She's a runaway bride; his life's been torn apart by a mysterious event that may have just been the Rapture – are they a match made in heaven? The thrilling blush of true love doesn't really exist in the universe of

, but if anyone could get this small-town chief of police out of his existential funk, it's

A chatty New York waitress might be just the right match for a man whose estranged wife took a vow of silence.

Zac Efron in High School Musical 3 and Michelle Rodriguez in Fast & Furious

If this were high school,

would be the tough girl who gets picked first for everything in gym class. No, Michelle Rodriguez's

alter ego doesn't care that you nailed it on opening night, and no, she will not perform a feverishly choreographed waltz with you at prom, no matter how good-looking you are (and whose yearbook photo was better than Efron's in

It's complicated. What kind of car will Troy pick Letty up in for prom?Â

Dax Shepard in Parenthood and Kristen Bell in Veronica Mars

The Bravermans of Berkeley might only be a day's drive up the coast from Neptune, but

's warm and emotional extended family might as well live in a completely different world from the seedy SoCal landscapes of

. In the hug-happy world of

, part-time record producer Crosby is a lovable mess, but compared to some of Veronica's exes, he's the very picture of stability.

The youngest Braverman would certainly find a lot to like in

's detective, but knowing Veronica's weakness for

, we're thinking he might be a little too happy-go-lucky for her.

Joe Manganiello and Sofia Vergara"
"Vivian Boyack, 91, and Alice “Nonie” Dubes, 90, have married after 72 years together. ( AP Photo/The Quad City Times, Thomas Geyer)

Two women in their 90s have married in a ceremony in the US after 72 years together. AP Photo/The Quad City Times, Thomas Geyer)

The newlywed's friend Jerry Yeast has known the couple since he was an 18-year-old landscaper working in their yard.","Vivian Boyack, 91, and Alice “Nonie” Dubes, 90, have married after 72 years together. (AP Photo/The Quad City Times, Thomas Geyer)

Two women in their 90s have married in a ceremony in the US after 72 years together.

Vivian Boyack, 91, and Alice “Nonie” Dubes, 90, exchanged wedding vows at First Christian Church in Davenport, Iowa.

Surrounded by family and a small group of close friends, the two held hands as the Rev. Linda Hunsaker said it was a celebration that should have happened a long time ago, the Quad-City Times reported.

Over the years, the two have travelled to all 50 states, all the provinces of Canada, and to the UK twice.

“We’ve had a good time,” MsDubes said.

Ms Boyack added that it takes a lot of love and work to keep a relationship going for 72 years.

Vivian Boyack and Alice ""Nonie"" Dubes grasp hands on their wedding day in Davenport, Iowa. (AP Photo/The Quad City Times, Thomas Geyer)

The newlywed's friend Jerry Yeast has known the couple since he was an 18-year-old landscaper working in their yard.

“I’ve known these two women all my life, and I can tell you, they are special,” Mr Yeast said.

“This is a very special day for all of us.”

Do you have any news photos or videos?"
"How does an Android 2.1 Qwerty slider with unlimited texts and Internet for $25/month after taxes sound to you? If you pay the full price ($249) for a cheaper Samsung Intercept phone, you can jump on Virgin Mobile’s $25/month everything pre-paid with 300 anytime minutes. The plan comes with Unlimited Messaging, Email & Web. Speaking to Virgin representatives, I can verify this is the real deal. But it is a working Android 2.1 phone with GPS and most of the midrange features you’ll find from other carriers and manufacturers.","How does an Android 2.1 Qwerty slider with unlimited texts and Internet for $25/month after taxes sound to you?

Virgin Mobile offers the best smartphone plan I’ve ever seen…by a long shot. If you pay the full price ($249) for a cheaper Samsung Intercept phone, you can jump on Virgin Mobile’s $25/month everything pre-paid with 300 anytime minutes. The plan comes with Unlimited Messaging, Email & Web.

Yep, that’s it. Finding a smartphone plan under $70/month is difficult, $25/month is unheard of.

For someone who doesn’t use their phone to talk a lot but wants a genuine smartphone, this blows away any featurephone out there.

Speaking to Virgin representatives, I can verify this is the real deal. My main concern was that after spending $250 on the phone, could Virgin up the monthly price in the new year? They told me that there would be a grandfather clause where you’d continue to be billed at the rate you bought the phone at (but I’d prefer to have that in writing). I was also told that this is the only Android phone that they’d carry in 2010, but more would likely be on the way, including an Android 2.2-updated Intercept some time in 2011.

If you want more talk minutes Virgin does 1200 minutes for $40 and unlimited for $60.

The Samsung Intercept is by no means on the high end of Android devices available today. In fact, Virgin Mobile generally pulls its phones from the low end of parent company Sprint’s offering. But it is a working Android 2.1 phone with GPS and most of the midrange features you’ll find from other carriers and manufacturers. The screen at 3.2 inches and 240×400 pixels is probably the biggest limitation. But certainly not a dealbreaker at $25/month. I’m thinking this makes a great entry level smartphone for the kids or the folks who are featurephone hold outs.

It has GPS hardware for navigation with Google Maps, Bluetooth 2.1 for speakerphones and MicroSD card for expandability of up to 32GB.

I talked to Sprint’s pre-paid group who mentioned that you can’t simply bring another Sprint S Android device to Virgin and expect to get it activated. The reps I spoke to didn’t rule it out for the future but there are no current plans to do this.

You also can’t tether or use this device as a hotspot (without rooting it I’d assume). Sprint said an Android 2.2 update was in the works which may let you tether for something closer to their (also amazing ) $40/month plan.

Sprint announced today at its quarterly earnings call, that they are picking up customers at a rate higher than anytime in recent memory and a lot of that has to do with its Android and pre-paid customers. With deals like this, I only expect Sprint to continue to gain marketshare.

Notable’s specs on this device:"
"David is director of the Grameen Foundation Technology Centre and vice president of technology programmes at Grameen Foundation (GF). It also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile platforms.","David is director of the Grameen Foundation Technology Centre and vice president of technology programmes at Grameen Foundation (GF). As the leader of GF's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor. This includes efforts to develop services that can be widely accessed on mobile phones, in domains such as health and agriculture, to improve lives and livelihoods. It also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile platforms.

Before joining GF, David spent three years at Microsoft, designing business models to provide affordable technology products for people in emerging markets."
